Date,Portfolio_Value
2023-08-24,229215.64430524182
2023-08-25,230612.56069976228
2023-08-28,232313.53742893355
2023-08-29,236384.9131584387
2023-08-30,237995.9654591686
2023-08-31,238920.54289541073
2023-09-01,239665.56879966482
2023-09-05,239827.22832198133
2023-09-06,239277.84592595254
2023-09-07,238366.74057620263
2023-09-08,239039.1890906126
2023-09-11,238419.90000580138
2023-09-12,238595.61480739058
2023-09-13,238485.410115646
2023-09-14,240433.13052085318
2023-09-15,237519.56691493295
2023-09-18,237859.26196811834
2023-09-19,237410.02972151755
2023-09-20,234853.71216170603
2023-09-21,231549.8688405375
2023-09-22,231557.69770520367
2023-09-25,233010.6298320639
2023-09-26,231057.60269124474
2023-09-27,233227.60078933375
2023-09-28,233736.16755565736
2023-09-29,232975.1923157649
2023-10-02,231614.0667208786
2023-10-03,229698.85963258956
2023-10-04,228884.0298130029
2023-10-05,227808.08207386473
2023-10-06,229717.4956333259
2023-10-09,232670.2463206408
2023-10-10,232993.94419557988
2023-10-11,232734.46450131832
2023-10-12,231630.2915912585
2023-10-13,232130.144797402
2023-10-16,233961.91632344676
2023-10-17,234500.32721536205
2023-10-18,232997.34144041364
2023-10-19,235065.42804346155
2023-10-20,233150.12353771296
2023-10-23,232119.76616597353
2023-10-24,234116.5542802127
2023-10-25,230632.4093221865
2023-10-26,227479.59573335372
2023-10-27,224795.006195392
2023-10-30,227596.12127821814
2023-10-31,228105.43875520534
2023-11-01,230534.85292038252
2023-11-02,234268.29404149024
2023-11-03,235535.62934283025
2023-11-06,235390.15147340193
2023-11-07,234595.43902462977
2023-11-08,233786.34319026885
2023-11-09,232863.22372964435
2023-11-10,236606.9796355056
2023-11-13,236682.50538326136
2023-11-14,238954.12156777
2023-11-15,239360.82640659536
2023-11-16,238380.0508701942
2023-11-17,239126.25838570998
2023-11-20,241409.5392813702
2023-11-21,240758.08047832185
2023-11-22,240921.0783503705
2023-11-24,240861.25230630784
2023-11-27,240757.43600212008
2023-11-28,240836.45377961415
2023-11-29,239783.74377921683
2023-11-30,239816.10616519174
2023-12-01,239816.17865238007
2023-12-04,237177.95824782242
2023-12-05,237936.02852003722
2023-12-06,235251.38152741597
2023-12-07,237503.55592806128
2023-12-08,238015.67423168823
2023-12-11,238232.18546921213
2023-12-12,237501.87280393663
2023-12-13,240421.43151637178
2023-12-14,241861.12271755323
2023-12-15,241577.83246037
2023-12-18,243847.4558754863
2023-12-19,245455.80540837802
2023-12-20,242042.1907044946
2023-12-21,245538.6011296154
2023-12-22,246594.91747993886
2023-12-26,248118.30585240963
2023-12-27,247760.8199621527
2023-12-28,247010.26197936802
2023-12-29,246732.40472466897
2024-01-02,245546.19716175614
2024-01-03,246644.11053686263
2024-01-04,244715.75567145963
2024-01-05,245587.3520993538
2024-01-08,247902.9812789517
2024-01-09,247282.5650894796
2024-01-10,247817.05136783785
2024-01-11,247583.74755655855
2024-01-12,248775.38777311463
2024-01-16,247616.15350822484
2024-01-17,246250.478255167
2024-01-18,248477.67223843164
2024-01-19,251319.09223371893
2024-01-22,251874.71551085718
2024-01-23,253168.70808689727
2024-01-24,255369.52624201108
2024-01-25,260015.58249514014
2024-01-26,260421.35189043632
